first name,last name,organization
Reem,Abbas,Auckland University of Technology
Mamun,Abu-Tair,University of Ulster
Ahmed,Aleroud,"Augusta University, Georgia, USA"
Ahsan Javed,Awan,Ericsson Research
Rami,Bahsoon,"School of Computer Sc, University of Birmingham"
Thomas,Beach,Cardiff University
Jose,Brito,Universidade de Brasilia - UnB
Maria,"Elena	Bruni","University of Calabria, Italy"
Wanghu,Chen,Northwest Normal University
Xiao,Chen,University of Edinburgh
David,Chiu,University of Puget Sound
Pedro,Contreras,The University of Warwick
Jie,Cui,Anhui University
Luca,Davoli,University of Parma
Weilong,Ding,North China University of Technology
Xiaoliang,Fan,"Xiamen University, China"
Lee,Gillam,University of Surrey
Madhu,Govindaraju,SUNY Binghamton
Cheol-Ho,Hong,Chung-Ang University
Said,Jai Andaloussi,"Faculty of sciences, Casablanca Hassan II University"
Amin,Karami,University of East London
In Kee,Kim,University of Georgia
Dalibor,Klusacek,"CESNET, Brno, Czech Republic"
Fatih,Kurugollu,University of Derby
Marc,Lacoste,Orange Labs
Chen,Liu,North China University of Technology
Ravi Reddy,Manumachu,"University College Dublin (UCD), Ireland"
Ali,Mirarab,"University of Qom, Iran"
Sangmi,Pallickara,Colorado State University
Shrideep,Pallickara,Colorado State University
Silvio,Pardi,Istituto Nazionale di Fisica Nucleare (INFN)
Radu,Prodan,University of Klagenfurt
Carlos,Reaño,Universitat de València
Georgia,Sakellari,Greenwich University
Jason,Sawin,University of St. Thomas
Alex,Sim,Lawrence Berkeley National Laboratory
Varun,Soundararajan,Google
Josef,Spillner,Zurich University of Applied Sciences
Yan,Tang,Hohai University
Jian,Tao,Texas A&M University
Adel,Taweel,King’s College London/Birzeit University
Rafael,Tolosana-Calasanz,Universidad de Zaragoza
Daniel,Waddington,Samsung Electronics
Jiayin,Wang,Montclair State University
Jingbo,Wang,Australian National University
Ramin,Yahyapour,GWDG - University of Göttingen
Renyu,Yang,University of Leeds
Junqi,Yin,Oak Ridge National Laboratory
Xiaodong,Yu,Argonne National Laboratory
Peng,Zhang,Nanjing University of Science and Technology
Wenbin,Zhang,Carnegie Mellon University
Da,Zhang,Virginia Tech
Dongfang,Zhao,"University of Nevada, Reno"
Jamal,Zolhavarieh,The University of Auckland
Fabiana,Zollo,Ca' Foscari University of Venice
